"","TFs","target","mor"
"261","CEBPA","ALB",0.532054715583421
"262","CEBPA","ALOX5AP",0.249761076730761
"263","CEBPA","APBB1IP",-0.259762573814043
"264","CEBPA","APOA1",0.993605064189204
"265","CEBPA","APOB",-0.000156311954177714
"266","CEBPA","APOC3",0.8869016554292
"267","CEBPA","BCL2",0.975534585450187
"268","CEBPA","C8orf76",-0.226393957649953
"269","CEBPA","CCNB1",0.70988116386021
"270","CEBPA","CCND1",-0.468928765621098
"271","CEBPA","CCNE1",0.849547856315887
"272","CEBPA","CDH13",0.669207887731017
"273","CEBPA","CDK2",0.984520802416002
"274","CEBPA","CDKN1A",0.511607952187066
"275","CEBPA","CES1",0.528451153902048
"276","CEBPA","CETP",-0.000823096651426769
"277","CEBPA","CFTR",0.919766238782196
"278","CEBPA","COMT",0.728650245563958
"279","CEBPA","CPS1",0.308854616430718
"280","CEBPA","CREB1",-0.000179631063260722
"281","CEBPA","CRMP1",-1.5922014515519e-06
"282","CEBPA","CSF1",-0.000878269425618896
"283","CEBPA","CSF3R",0.600748871354011
"284","CEBPA","CSN2",0.631675924002222
"285","CEBPA","CSRP1",0.861957483758911
"286","CEBPA","CXCR2",-2.98821832608988e-05
"287","CEBPA","CYP3A4",0.98097561425697
"288","CEBPA","CYP3A7",0.188653376209071
"289","CEBPA","E2F2",-6.52068515047723e-06
"290","CEBPA","E2F3",0.612304011734815
"291","CEBPA","EDN1",-0.00177028370750139
"292","CEBPA","EHHADH",0.667049922633655
"293","CEBPA","ELANE",0.872980934857561
"294","CEBPA","ELN",0.888927736577635
"295","CEBPA","ENPP3",-5.43188857663931e-06
"296","CEBPA","EPO",0.210368409131234
"297","CEBPA","EPX",0.886390404791295
"298","CEBPA","F3",0.736334097512175
"299","CEBPA","F9",-2.95791921245481e-06
"300","CEBPA","FAS",0.821428209747927
"301","CEBPA","FASN",-0.919577273411594
"302","CEBPA","FGA",0.854612503614672
"303","CEBPA","FGL2",-0.0221106317095271
"304","CEBPA","FN1",-0.00797084154394116
"305","CEBPA","FOXA2",0.660536789143876
"306","CEBPA","GADD45A",0.616894249491189
"307","CEBPA","GAPDH",0.910556175714144
"308","CEBPA","GDNF",0.879031480149899
"309","CEBPA","GLS2",-0.000277593335001309
"310","CEBPA","GPX4",0.963747518662459
"311","CEBPA","GSK3A",-0.000555437086118489
"312","CEBPA","GSK3B",-7.37445665726827e-07
"313","CEBPA","GUCY2C",-8.47168563070731e-07
"314","CEBPA","HAMP",0.371393015162822
"315","CEBPA","HMGB1",0.725734919252691
"316","CEBPA","HNF4A",0.65944563619927
"317","CEBPA","HOMER3",0.998084343849814
"318","CEBPA","HP",0.938841985247802
"319","CEBPA","HPX",0.873540905341729
"320","CEBPA","HSD17B11",0.990488236332597
"321","CEBPA","HSPA4",0.949399546001123
"322","CEBPA","ICAM1",0.967869458171009
"323","CEBPA","ID1",0.946790951584601
"324","CEBPA","IGF1",0.298661775989674
"325","CEBPA","IGF2",-0.0198554290058701
"326","CEBPA","IGFBP1",0.873540905341729
"327","CEBPA","IL10",0.430229945101184
"328","CEBPA","IL12B",0.672432338688883
"329","CEBPA","IL1A",0.778728174448481
"330","CEBPA","IL3",0.727680509581636
"331","CEBPA","IL4",-0.139196589731901
"332","CEBPA","IL5",-0.0135255408614287
"333","CEBPA","IL6",-0.909929800849956
"334","CEBPA","INSR",0.998469529599872
"335","CEBPA","IRS1",0.265468914510423
"336","CEBPA","ITGA2",0.734425537111366
"337","CEBPA","ITGAL",-0.965028842696271
"338","CEBPA","ITGAX",0.768359963764616
"339","CEBPA","ITGB2",0.85335902540913
"340","CEBPA","KCNH8",-1.06491951133589e-05
"341","CEBPA","KCNMA1",0.560752082603272
"342","CEBPA","LBP",0.998007641424749
"343","CEBPA","LDLR",-0.179180093450043
"344","CEBPA","LEP",-0.97812497557105
"345","CEBPA","LIPC",-1.3520692541926e-06
"346","CEBPA","LTF",0.258927402067403
"347","CEBPA","MAD1L1",0.978878940171715
"348","CEBPA","MAT2A",0.989858935403352
"349","CEBPA","MME",0.277886164142396
"350","CEBPA","MMP11",0.96486650798394
"351","CEBPA","MSR1",0.297652919895167
"352","CEBPA","MYBL1",0.940333891984014
"353","CEBPA","MYC",-0.190910730017204
"354","CEBPA","NFYA",0.978762939067284
"355","CEBPA","NFYC",0.526047395457853
"356","CEBPA","NR5A1",0.962205505801848
"357","CEBPA","PCK1",0.821428209747927
"358","CEBPA","PCK2",0.250668175286651
"359","CEBPA","PCNA",0.801679415692911
"360","CEBPA","PER2",0.992705116497883
"361","CEBPA","PPARG",0.905403597017427
"362","CEBPA","PTGS2",0.212796896116995
"363","CEBPA","RB1",-0.00355622078338234
"364","CEBPA","RNASE2",0.347031948723002
"365","CEBPA","S100A9",0.577337178239405
"366","CEBPA","SAA1",-0.400202193964739
"367","CEBPA","SCD",-0.00682988209914226
"368","CEBPA","SERPINC1",-0.993905568612095
"369","CEBPA","SFTPD",-1.73619857381673e-07
"370","CEBPA","SLC10A1",0.980443193346055
"371","CEBPA","SLC9A1",0.901830979353808
"372","CEBPA","SMYD2",0.873540905341729
"373","CEBPA","SOCS3",-0.0824316463709834
"374","CEBPA","SOD1",0.563129715024621
"375","CEBPA","SP1",-0.978476717499346
"376","CEBPA","SPI1",0.873540905341729
"377","CEBPA","SPP1",0.269252651496274
"378","CEBPA","SREBF1",0.993566497404077
"379","CEBPA","SREBF2",0.887411009748561
"380","CEBPA","STAR",0.988615268182625
"381","CEBPA","STAT3",0.516423603769385
"382","CEBPA","TF",0.279827076625685
"383","CEBPA","THOC1",-0.952401269326168
"384","CEBPA","TIMP2",0.995645188569225
"385","CEBPA","TK1",-2.51941922796107e-06
"386","CEBPA","TNFAIP3",0.971562040420242
"387","CEBPA","TNFRSF1A",-1.48288572495344e-05
"388","CEBPA","TOP2A",0.789601023652665
"389","CEBPA","TSC22D3",-0.0178133194842162
"390","CEBPA","UBE2L3",0.940333891984014
"391","CEBPA","UHRF1",0.926393916768994
"392","CEBPA","VLDLR",-1.81469463461105e-05
"393","CEBPA","XDH",-0.0632006947794481
"394","CEBPB","ABCB1",0.406821678291034
"395","CEBPB","ADM",0.889929483035421
"396","CEBPB","ALB",-3.37906614562591e-06
"397","CEBPB","ASNS",-0.987522224848726
"398","CEBPB","BCL2L1",-0.00041629292720551
"399","CEBPB","CDKN1A",0.994763858333144
"400","CEBPB","CRP",-0.0876080142067204
"401","CEBPB","CSF3R",0.993527715257923
"402","CEBPB","CSH2",-0.0254823924474217
"403","CEBPB","CSRP1",-0.00519363668953184
"404","CEBPB","CYP19A1",-7.00585250067982e-05
"405","CEBPB","F8",0.849547856315887
"406","CEBPB","FASLG",0.45276651542784
"407","CEBPB","FOS",0.992791532159491
"408","CEBPB","FURIN",0.883805561784601
"409","CEBPB","GADD45G",-0.978822022726672
"410","CEBPB","GFER",-0.00095734155711317
"411","CEBPB","HP",-0.0104075711158091
"412","CEBPB","IGF2",0.993757199530395
"413","CEBPB","IL10",0.987377161602402
"414","CEBPB","IL12B",0.331921208504334
"415","CEBPB","IL1B",-0.00149685127915266
"416","CEBPB","IL24",-1.46737584825227e-06
"417","CEBPB","IL3",-0.0412793104105446
"418","CEBPB","IL4",0.974864614687161
"419","CEBPB","IL5",0.44562356593321
"420","CEBPB","IL6",0.663800648116613
"421","CEBPB","INSR",0.933845290916289
